,Asset,RVRF,cantidad,Run Fondo
1013,Otro,Otro,5.4269999999999925,8245
1014,Otro,Otro,10.106000000000023,8246
1015,Otro,Otro,4.385999999999996,8247
1016,Otro,Otro,4.965000000000003,8248
1017,Otro,Otro,6.626000000000005,8249
1018,Otro,Otro,2.3870000000000005,8250
1019,Otro,Otro,1.815999999999974,8251
1020,Otro,Otro,1.7620000000000005,8252
1021,Otro,Otro,18.993000000000038,8253
1022,Otro,Otro,2.759999999999991,8254
1023,Otro,Otro,0.22000000000002728,8257
1024,Otro,Otro,0.06699999999996464,8263
1025,Otro,Otro,1.6899999999999835,8264
1026,Otro,Otro,0.15899999999999181,8265
1027,Otro,Otro,1.5549999999999926,8274
1028,Otro,Otro,2.0970000000000084,8275
1029,Otro,Otro,2.5749999999999886,8277
1030,Otro,Otro,50.218999999999966,8280
1031,Otro,Otro,0.16200000000000614,8285
1032,Otro,Otro,0.39099999999999113,8286
1033,Otro,Otro,16.014000000000024,8287
1034,Otro,Otro,1.4790000000000134,8289
1035,Otro,Otro,3.5630000000000024,8292
1036,Otro,Otro,0.8079999999999927,8294
1037,Otro,Otro,2.9420000000000073,8295
1038,Otro,Otro,1.5339999999999918,8299
1039,Otro,Otro,2.3540000000000276,8300
1040,Otro,Otro,1.7779999999999774,8301
1041,Otro,Otro,1.6380000000000052,8302
1042,Otro,Otro,2.068000000000012,8303
1043,Otro,Otro,4.231000000000023,8304
1044,Otro,Otro,0.42499999999999716,8305
1045,Otro,Otro,3.115000000000009,8306
1046,Otro,Otro,0.09899999999989006,8315
1047,Otro,Otro,3.790999999999883,8316
1048,Otro,Otro,8.406000000000063,8317
1049,Otro,Otro,2.2190000000000083,8319
1050,Otro,Otro,1.2610000000000525,8320
1051,Otro,Otro,0.2400000000000091,8323
1052,Otro,Otro,8.10599999999998,8325
1053,Otro,Otro,1.2039999999999509,8327
1054,Otro,Otro,0.012000000000014666,8333
1055,Otro,Otro,0.7110000000000127,8336
1056,Otro,Otro,0.01500000000001478,8338
1057,Otro,Otro,0.5789999999999793,8345
1058,Otro,Otro,6.234999999999971,8346
1059,Otro,Otro,4.454000000000008,8347
1060,Otro,Otro,7.367999999999967,8348
1061,Otro,Otro,0.038000000000025125,8352
1062,Otro,Otro,4.416999999999973,8357
1063,Otro,Otro,0.8419999999999561,8358
1064,Otro,Otro,7.145000000000067,8363
1065,Otro,Otro,0.05700000000000216,8367
1066,Otro,Otro,1.2290000000000134,8372
1067,Otro,Otro,3.7680000000000007,8373
1068,Otro,Otro,0.06599999999994566,8375
1069,Otro,Otro,2.529999999999987,8377
1070,Otro,Otro,1.2740000000000435,8379
1071,Otro,Otro,2.2269999999999897,8380
1072,Otro,Otro,0.05300000000001148,8381
1073,Otro,Otro,16.829000000000008,8384
1074,Otro,Otro,8.181000000000068,8387
1075,Otro,Otro,12.181000000000012,8392
1076,Otro,Otro,8.164999999999992,8393
1077,Otro,Otro,2.528000000000006,8395
1078,Otro,Otro,0.03499999999999659,8401
1079,Otro,Otro,0.8340000000000032,8409
1080,Otro,Otro,8.197999999999979,8411
1081,Otro,Otro,5.694999999999993,8413
1082,Otro,Otro,0.07499999999996021,8421
1083,Otro,Otro,5.69800000000005,8422
1084,Otro,Otro,1.6539999999999822,8427
1085,Otro,Otro,1.9439999999999884,8430
1086,Otro,Otro,1.8660000000000139,8434
1087,Otro,Otro,0.7470000000000141,8435
1088,Otro,Otro,1.301000000000002,8437
1089,Otro,Otro,1.4100000000000108,8438
1090,Otro,Otro,5.081000000000003,8442
1091,Otro,Otro,1.0720000000000027,8448
1092,Otro,Otro,1.6779999999999973,8452
1093,Otro,Otro,1.007000000000005,8455
1094,Otro,Otro,0.8639999999999901,8456
1095,Otro,Otro,4.121999999999986,8457
1096,Otro,Otro,0.22699999999997544,8458
1097,Otro,Otro,0.38700000000001467,8459
1098,Otro,Otro,0.044999999999987494,8460
1099,Otro,Otro,0.2079999999999984,8471
1100,Otro,Otro,1.0030000000000001,8475
1101,Otro,Otro,2.97499999999998,8479
1102,Otro,Otro,2.442999999999998,8480
1103,Otro,Otro,3.0590000000000117,8481
1104,Otro,Otro,6.670000000000002,8482
1105,Otro,Otro,1.5049999999999955,8484
1106,Otro,Otro,0.8490000000000038,8488
1107,Otro,Otro,0.16499999999997783,8490
1108,Otro,Otro,2.1269999999999953,8492
1109,Otro,Otro,0.09600000000000364,8493
1110,Otro,Otro,0.2150000000000034,8494
1111,Otro,Otro,0.33099999999998886,8495
1112,Otro,Otro,6.366,8502
1113,Otro,Otro,0.5880000000000081,8506
1114,Otro,Otro,1.0689999999999884,8513
1115,Otro,Otro,1.039999999999992,8514
1116,Otro,Otro,1.2450000000000045,8515
1117,Otro,Otro,2.293999999999997,8517
1118,Otro,Otro,3.5150000000000006,8519
1119,Otro,Otro,13.958999999999989,8521
1120,Otro,Otro,2.2789999999999964,8525
1121,Otro,Otro,1.1509999999999962,8529
1122,Otro,Otro,0.17399999999997817,8532
1123,Otro,Otro,7.421999999999997,8533
1124,Otro,Otro,3.201999999999998,8534
1125,Otro,Otro,1.3119999999999834,8536
1126,Otro,Otro,2.48299999999999,8537
1127,Otro,Otro,0.11299999999998533,8553
1128,Otro,Otro,2.1700000000000017,8555
1129,Otro,Otro,4.776999999999973,8575
1130,Otro,Otro,3.801000000000002,8576
1131,Otro,Otro,2.2620000000000005,8577
1132,Otro,Otro,9.293999999999983,8578
1133,Otro,Otro,0.29699999999999704,8588
1134,Otro,Otro,4.093000000000018,8589
1135,Otro,Otro,0.9820000000000277,8600
1136,Otro,Otro,7.536000000000016,8604
1137,Otro,Otro,4.385000000000005,8606
1138,Otro,Otro,0.6119999999999521,8608
1139,Otro,Otro,3.5169999999999817,8609
1140,Otro,Otro,0.9080000000000155,8610
1141,Otro,Otro,1.5089999999999861,8615
1142,Otro,Otro,24.964000000000027,8618
1143,Otro,Otro,7.783000000000001,8619
1144,Otro,Otro,0.07000000000000739,8620
1145,Otro,Otro,0.06200000000001182,8621
1146,Otro,Otro,6.622,8622
1147,Otro,Otro,0.9550000000000267,8625
1148,Otro,Otro,3.8810000000000002,8629
1149,Otro,Otro,0.7860000000000014,8638
1150,Otro,Otro,0.6159999999999997,8639
1151,Otro,Otro,1.8739999999999952,8640
1152,Otro,Otro,1.6520000000000152,8661
1153,Otro,Otro,0.042999999999977945,8676
1154,Otro,Otro,0.4859999999999758,8678
1155,Otro,Otro,1.646000000000015,8679
1156,Otro,Otro,2.835000000000008,8684
1157,Otro,Otro,2.2020000000000266,8685
1158,Otro,Otro,3.667999999999992,8687
1159,Otro,Otro,1.5159999999999911,8694
1160,Otro,Otro,5.74199999999999,8695
1161,Otro,Otro,13.320999999999984,8696
1162,Otro,Otro,0.07400000000001228,8702
1163,Otro,Otro,1.0870000000000033,8705
1164,Otro,Otro,2.933999999999969,8707
1165,Otro,Otro,4.6959999999999695,8710
1166,Otro,Otro,2.790999999999997,8712
1167,Otro,Otro,5.25500000000001,8723
1168,Otro,Otro,4.399000000000001,8725
1169,Otro,Otro,0.09200000000002717,8730
1170,Otro,Otro,0.5599999999999312,8731
1171,Otro,Otro,4.906000000000006,8740
1172,Otro,Otro,2.5160000000000196,8741
1173,Otro,Otro,10.216000000000008,8744
1174,Otro,Otro,2.8619999999999948,8749
1175,Otro,Otro,0.5600000000000023,8750
1176,Otro,Otro,11.640999999999991,8753
1177,Otro,Otro,0.03900000000005832,8755
1178,Otro,Otro,0.3990000000000009,8757
1179,Otro,Otro,0.0239999999999867,8766
1180,Otro,Otro,1.9919999999999618,8773
1181,Otro,Otro,1.6910000000000025,8774
1182,Otro,Otro,2.349000000000032,8775
1183,Otro,Otro,13.760000000000005,8776
1184,Otro,Otro,3.291000000000011,8777
1185,Otro,Otro,2.106999999999985,8785
1186,Otro,Otro,3.256999999999991,8787
1187,Otro,Otro,2.8029999999999973,8788
1188,Otro,Otro,0.7139999999999986,8789
1189,Otro,Otro,1.0959999999999752,8795
1190,Otro,Otro,11.109000000000037,8799
1191,Otro,Otro,1.5629999999999882,8801
1192,Otro,Otro,5.6839999999999975,8805
1193,Otro,Otro,0.3680000000000234,8806
1194,Otro,Otro,6.110000000000028,8807
1195,Otro,Otro,1.434999999999988,8811
1196,Otro,Otro,2.798000000000016,8812
1197,Otro,Otro,18.25,8813
1198,Otro,Otro,2.2940000000000254,8819
1199,Otro,Otro,2.7409999999999997,8820
1200,Otro,Otro,2.2730000000000246,8822
1201,Otro,Otro,3.6189999999999856,8823
1202,Otro,Otro,1.0360000000000014,8824
1203,Otro,Otro,3.8589999999999947,8825
1204,Otro,Otro,6.228000000000037,8826
1205,Otro,Otro,10.385000000000034,8827
1206,Otro,Otro,5.927999999999997,8844
1207,Otro,Otro,10.667000000000002,8845
1208,Otro,Otro,6.224000000000032,8846
1209,Otro,Otro,10.682999999999964,8853
1210,Otro,Otro,0.5079999999999956,8857
1211,Otro,Otro,1.7059999999999889,8858
1212,Otro,Otro,5.123999999999967,8859
1213,Otro,Otro,0.9059999999999917,8872
1214,Otro,Otro,0.11399999999999011,8881
1215,Otro,Otro,7.374999999999986,8885
1216,Otro,Otro,5.442999999999984,8886
1217,Otro,Otro,1.938999999999993,8890
1218,Otro,Otro,2.3500000000000085,8893
1219,Otro,Otro,0.34799999999997056,8897
1220,Otro,Otro,2.374999999999986,8898
1221,Otro,Otro,10.528000000000006,8900
1222,Otro,Otro,0.27000000000001023,8902
1223,Otro,Otro,4.179999999999993,8906
1224,Otro,Otro,8.253000000000029,8907
1225,Otro,Otro,1.5339999999999918,8908
1226,Otro,Otro,41.88500000000001,8910
1227,Otro,Otro,20.995000000000005,8911
1228,Otro,Otro,0.7049999999999272,8912
1229,Otro,Otro,3.36099999999999,8915
1230,Otro,Otro,1.7780000000000058,8916
1231,Otro,Otro,3.0570000000000164,8918
1232,Otro,Otro,1.4259999999999877,8924
1233,Otro,Otro,0.9030000000000342,8929
1234,Otro,Otro,20.61500000000001,8931
1235,Otro,Otro,0.8280000000000172,8932
1236,Otro,Otro,3.6420000000000243,8933
1237,Otro,Otro,1.47499999999998,8934
1238,Otro,Otro,3.205999999999989,8935
1239,Otro,Otro,4.951000000000008,8937
1240,Otro,Otro,1.7469999999999999,8940
1241,Otro,Otro,3.0950000000000273,8941
1242,Otro,Otro,16.435999999999993,8944
1243,Otro,Otro,3.0370000000000203,8945
1244,Otro,Otro,1.7459999999999951,8946
1245,Otro,Otro,1.5729999999999933,8948
1246,Otro,Otro,0.26499999999995794,8950
1247,Otro,Otro,0.09799999999997056,8952
1248,Otro,Otro,0.04799999999998761,8953
1249,Otro,Otro,0.375,8954
1250,Otro,Otro,0.5279999999999205,8956
1251,Otro,Otro,9.709000000000003,8957
1252,Otro,Otro,1.7350000000000279,8959
1253,Otro,Otro,1.7509999999999906,8966
1254,Otro,Otro,1.0319999999999965,8967
1255,Otro,Otro,1.0,8970
1256,Otro,Otro,12.253000000000014,8971
1257,Otro,Otro,0.07099999999994111,8976
1258,Otro,Otro,1.0570000000000022,8979
1259,Otro,Otro,0.769999999999996,8980
1260,Otro,Otro,1.4990000000000094,8982
1261,Otro,Otro,7.918000000000021,8986
1262,Otro,Otro,0.4380000000000024,8987
1263,Otro,Otro,5.460999999999984,8991
1264,Otro,Otro,1.2110000000000127,8992
1265,Otro,Otro,2.394999999999982,8993
1266,Otro,Otro,0.9629999999999939,8994
1267,Otro,Otro,23.789,8995
1268,Otro,Otro,6.293999999999997,8996
1269,Otro,Otro,27.350000000000023,8997
1270,Otro,Otro,0.3340000000000458,9003
1271,Otro,Otro,6.904999999999987,9004
1272,Otro,Otro,2.98599999999999,9005
1273,Otro,Otro,3.7819999999999823,9006
1274,Otro,Otro,5.344999999999999,9007
1275,Otro,Otro,0.21800000000000352,9019
1276,Otro,Otro,6.789999999999992,9021
1277,Otro,Otro,21.93099999999997,9022
1278,Otro,Otro,5.81399999999995,9023
1279,Otro,Otro,2.8759999999999906,9024
1280,Otro,Otro,4.505999999999972,9025
1281,Otro,Otro,4.274000000000001,9027
1282,Otro,Otro,3.334000000000046,9033
1283,Otro,Otro,14.289999999999935,9034
1284,Otro,Otro,11.009,9038
1285,Otro,Otro,7.965000000000018,9041
1286,Otro,Otro,2.5300000000000153,9042
1287,Otro,Otro,1.801000000000002,9043
1288,Otro,Otro,2.64200000000001,9048
1289,Otro,Otro,7.933000000000021,9054
1290,Otro,Otro,0.4049999999999585,9056
1291,Otro,Otro,0.7290000000000134,9060
1292,Otro,Otro,0.2979999999999734,9061
1293,Otro,Otro,0.7590000000000146,9062
1294,Otro,Otro,0.5260000000000105,9063
1295,Otro,Otro,0.8810000000000002,9065
1296,Otro,Otro,0.8539999999999992,9067
1297,Otro,Otro,2.7310000000000088,9072
1298,Otro,Otro,6.833999999999989,9073
1299,Otro,Otro,10.835000000000093,9074
1300,Otro,Otro,0.8670000000000044,9079
1301,Otro,Otro,0.3509999999999849,9084
1302,Otro,Otro,2.184999999999974,9094
1303,Otro,Otro,0.06999999999999318,9102
1304,Otro,Otro,62.644000000000005,9104
1305,Otro,Otro,0.09699999999995157,9106
1306,Otro,Otro,0.1419999999999959,9145
1307,Otro,Otro,6.700999999999993,9154
1308,Otro,Otro,3.4299999999999784,9158
1309,Otro,Otro,8.00200000000001,9162
1310,Otro,Otro,0.7420000000000044,9166
1311,Otro,Otro,0.37699999999999534,9187
1312,Otro,Otro,0.19599999999999795,9189
1313,Otro,Otro,1.6550000000000153,9190
1314,Otro,Otro,3.9819999999999993,9191
1315,Otro,Otro,1.7630000000000052,9192
1316,Otro,Otro,4.528999999999996,9193
1317,Otro,Otro,0.125,9201
1318,Otro,Otro,2.913000000000011,9209
1319,Otro,Otro,9.87299999999999,9221
1320,Otro,Otro,50.73300000000004,9222
1321,Otro,Otro,1.2600000000000051,9223
1322,Otro,Otro,0.22299999999998477,9226
1323,Otro,Otro,0.07299999999999329,9228
1324,Otro,Otro,0.04200000000000159,9231
1325,Otro,Otro,2.6789999999999736,9238
1326,Otro,Otro,0.07499999999997442,9248
1327,Otro,Otro,0.5090000000000003,9253
1328,Otro,Otro,5.156000000000006,9254
1329,Otro,Otro,2.948999999999984,9255
1330,Otro,Otro,6.211999999999989,9259
1331,Otro,Otro,7.557000000000002,9260
1332,Otro,Otro,6.569000000000003,9261
1333,Otro,Otro,11.941000000000031,9291
1334,Otro,Otro,5.629999999999981,9294
1335,Otro,Otro,0.4890000000000043,9310
1336,Otro,Otro,12.188999999999993,9328
1337,Otro,Otro,5.471000000000004,9345
1338,Otro,Otro,3.7510000000000048,9352
1339,Otro,Otro,0.5279999999999774,9362
1340,Otro,Otro,3.3789999999999907,9365
1341,Otro,Otro,0.6829999999999927,9371
1342,Otro,Otro,3.3380000000000223,9372
1343,Otro,Otro,0.6999999999999886,9399
1344,Otro,Otro,11.411000000000001,9405
1345,Otro,Otro,3.47199999999998,9412
1346,Otro,Otro,6.03400000000002,9414
1347,Otro,Otro,0.679000000000002,9421
1348,Otro,Otro,7.169000000000011,9422
1349,Otro,Otro,17.285000000000082,9426
1350,Otro,Otro,5.219000000000008,9428
1351,Otro,Otro,2.0779999999999887,9429
1352,Otro,Otro,1.7409999999999854,9430
1353,Otro,Otro,2.9879999999999995,9431
1354,Otro,Otro,2.2520000000000095,9432
1355,Otro,Otro,17.466000000000008,9440
1356,Otro,Otro,0.5209999999999866,9445
1357,Otro,Otro,0.036000000000001364,9447
1358,Otro,Otro,5.882000000000019,9449
1359,Otro,Otro,2.062000000000012,9450
1360,Otro,Otro,1.4989999999999952,9456
1361,Otro,Otro,12.169999999999987,9457
1362,Otro,Otro,3.539999999999992,9473
1363,Otro,Otro,3.609000000000009,9474
1364,Otro,Otro,18.077000000000012,9484
1365,Otro,Otro,0.028000000000005798,9487
1366,Otro,Otro,0.5719999999999885,9489
1367,Otro,Otro,0.38999999999998636,9490
1368,Otro,Otro,0.632000000000005,9511
1369,Otro,Otro,0.2219999999999942,9519
1370,Otro,Otro,0.277000000000001,9521
1371,Otro,Otro,0.0,9533
1372,Otro,Otro,3.867999999999995,9535
1373,Otro,Otro,2.0379999999999967,9537
1374,Otro,Otro,0.06900000000004525,9539
1375,Otro,Otro,13.224000000000004,9541
1376,Otro,Otro,0.18200000000000216,9547
1377,Otro,Otro,7.451000000000022,9548
1378,Otro,Otro,0.9649999999999892,9557
1379,Otro,Otro,3.695999999999998,9561
1380,Otro,Otro,0.03799999999995407,9564
1381,Otro,Otro,8.930000000000007,9568
1382,Otro,Otro,4.513000000000005,9569
1383,Otro,Otro,20.430999999999997,9570
1384,Otro,Otro,0.6250000000000142,9575
1385,Otro,Otro,7.884999999999991,9576
1386,Otro,Otro,0.033999999999991815,9577
1387,Otro,Otro,1.3689999999999998,9585
1388,Otro,Otro,12.875999999999976,9586
1389,Otro,Otro,12.195000000000022,9587
1390,Otro,Otro,3.146000000000001,9593
1391,Otro,Otro,2.9140000000000015,9594
1392,Otro,Otro,1.2780000000000058,9595
1393,Otro,Otro,3.793999999999997,9596
1394,Otro,Otro,3.951999999999913,9597
1395,Otro,Otro,12.475999999999999,9607
1396,Otro,Otro,11.241,9608
1397,Otro,Otro,12.244,9609
1398,Otro,Otro,8.721999999999994,9610
1399,Otro,Otro,5.194999999999993,9625
1400,Otro,Otro,0.014999999999986358,9630
1401,Otro,Otro,13.015,9632
1402,Otro,Otro,0.054000000000002046,9646
1403,Otro,Otro,0.01300000000000523,9647
1404,Otro,Otro,24.342000000000013,9648
1405,Otro,Otro,0.018000000000000682,9649
